Name,Zone ID,Description,Fact,Image Filename
Takin,4,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis.",Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae.,takin.png
Somali Wild Ass,4,"Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus.",Autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet.,somali-wild-ass.png
Camel,4,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt.","Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",camel.png
Zebra,4,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet.,zebra.png
Addax,4,"Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus.",Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae.,addax.png
Giraffe,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam.",Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,giraffe.png
Okapi,4,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt.","Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",okapi.png
Ostrich,4,"Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus.",Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae.,ostrich.png
Kangaroo,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam.","Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur.",kangaroo.png
Black Rhino,5,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae.","Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur.",black-rhino.png
Capybara,5,"Capybara are native to South America and are known as the world's largest rodent. They're semi aquatic animals that generally live near lakes, rivers, and other bodies of water.","As semi aquatic mammals, capybara spend lots of time in the water and are strong swimmers. Capybara can hold their breath for up to 5 minutes!",capybara.png
Anteater,5,"The anteaters in the zoo fall in the category of 'giant anteaters' and are the largest anteater species. In addition to their obvious food choice, anteaters also eat termites, beetle larvae and fruit.",The tongues of giant eaters can extend up to 2 feet. See if you can spot them eating!,anteater.png
Asian Elephant,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam.",Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,asian-elephant.png
Hippo,5,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt.","Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",hippo.png
Red River Hog,5,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae.","Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur.",red-river-hog.png
Painted Dog,5,"Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus.",Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae.,painted-dog.png
Cheetah,5,Stop by and say hello to our cheetah family! In 2017 eight cheetah cubs were born as part of the zoo's efforts to support genetic diversity in the cheetah population.,"Cheetahs are a threatened species, with fewer than 8,000 living in the wild.",cheetah.png
Hyena,5,"When visiting the spotted hyenas, listen for the laughing sounds they make to communicate. Hyenas live in desert and savanna areas in Sub-Saharan Africa.","Hyena's are skilled hunters as well as scavengers, eating everything from live prey to eggs and bone. ",hyena.png
Dwarf Mongoose,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam.",Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,dwarf-mongoose.png
Malayan Sun Bear,5,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt.","Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",malayan-sun-bear.png
Andean Bear,5,"Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus.",Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae sint et molestiae non recusandae.,andean-bear.png
Polar Bear Point,6,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo.","Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur.",polar-bear.png
Penguin and Puffin Coast,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam.",Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,penguin.png
Flamingos,6,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae.","Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur.",flamingo.png
Prairie Dogs,6,"Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus.","Prairie dog colonies are called ""towns"".  Ten prairie dog pups were born in the zoo in 2017.",prairie-dog.png
Red Panda,6,"You're likely to spot our red panda napping on its tree stand platform, as red pandas are primarily active after dark. ",Red pandas are an endangered species and are more closely related to raccoons than pandas.,red-panda.png
Jungle of the Apes,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam.",Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,jungle-of-apes-gorilla.png
Fragile Forest,6,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt.","Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",fragile-forest-chimp.png
